id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
394	Lotto	You are eating a delicious meal that you have just prepared when the phone rings. It is the representative of an important survey company. He tells you that if you can spend half an hour of your time replying to a series of questions about the development of alternative energy, his company will send you a voucher for €80 to spend on books.You say you are interested, but ask if you can be called back later saying that you have a bad headache. You know that this means you can finish your meal and receive the voucher.	orig		1	1	0	0	0	2	2	No harm is caused to anyone	Using the situation to one's advantage	No loyalty is breached	Not directly related to subverting authority	No sacred values are violated	Person gains freedom to finish their meal	Using a loophole to gain a benefit is generally seen as morally acceptable, though it may not be the most honest approach	2.13
395	Kruepke	Back in high school I kind of had an agreement with the guy sitting next to me. We would show each other our papers whenever we were taking a test. Both of us were pretty good students, we just would make sure we shared test answers if we needed to.	orig		-2	-4	-3	-3	0	-3	-3	No harm intended, but assistance given	Clear act of cheating, undermining fairness	Betrayal of academic trust and loyalty	Subversion of teacher's authority	No direct connection to sanctity	Infringing on individual academic freedom	The scenario is not morally acceptable due to cheating and undermining fairness, loyalty, and liberty	-1.67
396	Lotto	You are a building worker who is manoeuvring a crane on a building site. You have just started your day on the site, when you realise that the cable of the crane is about to break. Attached to the cable is an enormous steel beam which is directly above a crew of six who are working on the outside of a building in construction.You move the arm of the crane a short distance to another area of the site. You know that there is a worker there who will be crushed by the steel beam and will die, but the other six workers will be unhurt.	orig		-5	0	-4	0	0	-3	-2	Causing harm to one for the sake of many	Not directly related to fairness	Duty to protect coworkers	Not directly related to authority	No desecration of sacred objects or values	Restricting freedom of one for the greater good	Morally ambiguous, as it involves sacrificing one for many	-1.04
397	Effron	Put sugar in his friend's gas tank	orig		-5	-4	-3	0	0	-4	-4	Causing significant harm to friend's property	Tampering with someone's belongings without consent	Undermining trust in a friendship	Not directly applicable	Not directly applicable	Infringing on friend's freedom to use their property	This scenario is extremely immoral	-3.336
398	Clifford	You see a boy making fun of his brother for getting dumped by his girlfriend.	orig		-3	0	0	0	-2	-2	-2	Making fun can cause emotional harm	No direct relation to cheating or fairness	No direct relation to betrayal or loyalty	No direct relation to subversion or authority	Making fun can degrade the brother's dignity	Freedom to express feelings, but causing distress	Making fun of someone's misfortune is generally seen as immoral	-2.2
399	Mickelberg	Person X joined the military because they wanted to see what it was like to kill people.	orig		-5	0	0	-3	0	-4	-4	Person X has intention to cause harm	No direct relation to cheating or fairness	No direct relation to betrayal or loyalty	Joining military but with wrong intentions	No direct relation to degradation or sanctity	Person X's intention restricts others' freedom	Joining military with intent to kill is highly immoral	-3.14
400	Kruepke	Instead of contributing more to my mother's economic stability, by helping her out monetarily in her retirement, I traveled. I spent money on travel, on vacations. Some of that money could've gone to her.	orig		-4	-3	-4	-2	0	2	-3	Spending money on oneself instead of helping mother	Not sharing resources equitably	Neglecting duty towards family	Ignoring parent's financial needs	No direct relation	Person's freedom to use money as they wish	Spending on oneself instead of helping a parent can be seen as selfish	-1.49
401	Clifford	You see a woman lying about the number of vacation days she has taken at work.	orig		0	-3	-2	-2	0	0	-2	No direct harm to others	Violates truthfulness and honesty	Betrayal of trust towards the employer	Undermines company policies	No direct connection	Does not limit personal freedom	Lying about vacation days is generally viewed negatively	-2.2
402	Mickelberg	Person X loosened the wheel nuts of their neighbor's car, because the neighbor always played loud music.	orig		-4	0	0	0	0	-3	-4	Causing potential harm, score -4	Not directly cheating, score 0	No loyalty relationship, score 0	No subversion of authority, score 0	No sanctity violation, score 0	Infringing on neighbor's liberty, score -3	Causing potential harm and infringing on liberty, score -4	-3.16
403	Mickelberg	Person X left the family business to set up their own business, taking most of the clients with them and causing the family business to go bankrupt.	orig		-5	-5	-5	-4	0	-4	-4	Caused significant financial harm to family business	Took most clients, acting against fair business practices	Betrayed family trust and loyalty for personal gain	Undermined family business authority and management	Did not affect sanctity of family values directly	Restricted family business's liberty through unfair competition	This scenario is extremely immoral due to extensive harm, cheating, betrayal, and subversion	-2.39
404	Mickelberg	Person X did not attend their coworker's funeral because they'd had a disagreement before the coworker died.	orig		-3	0	-2	0	0	-1	-2	Person X did not provide support, -3	No explicit cheating or unfairness, 0	Person X went against work relationships, -2	No explicit subversion or disregard for authority, 0	No explicit degradation or desecration, 0	Person X limited coworker's memory celebration, -1	Person X's absence may be seen as inconsiderate and disloyal, reducing moral acceptability	-1.4
405	Clifford	You see a single man ordering an inflatable sex doll that looks like his secretary.	orig		0	-2	-2	0	-3	0	-2	No direct harm to others	Potential breach of trust in relationships	Potential violation of professional loyalty	No direct subversion of authority	Potential degradation of personal and professional relationships	No direct oppression of others' liberties	The scenario raises concerns about potential breaches of trust and professional loyalty, as well as potential degradation of personal relationships.	-1.5
406	Effron	Helped a neighbor fix his roof	orig		5	0	0	0	0	0	4	Helped neighbor, hence promoting help	No elements of cheating or unfairness	No elements of betrayal or disloyalty	No elements of subversion or authority issues	No elements of degradation or sanctity issues	No elements of oppression or liberty restrictions	Helping a neighbor is generally seen as a moral act	2.7
407	Kruepke	About 10 years ago I was riding my bike and passed a Ford truck with the keys in the door. So I went into the apartment building facing the street and asked the man inside if he had a ford truck. He did and he went outside to get his keys out of the car.	orig		1	2	2	3	5	4	3	No harm was intended or caused	No cheating was involved	No loyalty was breached	No authority was subverted	No sanctity was degraded	No liberty was oppressed	The scenario is generally acceptable	2.28
