id	dataset	scenario	circumstance_type	circumstance	aspect1	aspect1_score	aspect1_expl	aspect2	aspect2_score	aspect2_expl	aspect3	aspect3_score	aspect3_expl	aspect4	aspect4_score	aspect4_expl	aspect5	aspect5_score	aspect5_expl	aspect6	aspect6_score	aspect6_expl	moral_score	moral_expl	human_score
632	Lotto	You are on a trip to Nepal with some other tourists. Your aeroplane has crashed in the Himalayas and only five of you have survived. You have no food and the temperature is below zero. The only possibility of surviving is to go on foot to a small village which is on the other side of the mountain. One of the survivors is injured and is slowing you down.You shoot the injured person so that you can make faster progress. This person will die, but you and the rest of the group will be able to reach the village and will all survive.	orig		Respect for human life	1	Taking a life is generally considered immoral	Necessity and self-defense	6	In a extreme situation, survival may require difficult choices	Consent of the injured person	0	Unable to consent due to injury or unconsciousness	Proportionality of the action	7	Sacrificing one life to save many others	Distribution of resources	5	Limited resources may not allow for care of the injured	Alternatives to harm	3	Limited options in a harsh environment and dire circumstances	3	Weighed moral factors in a survival situation	-1.46
633	Mickelberg	Person X learned a secret prize-winning pie recipe from their grandmother before she died.	orig		Fidelity to grandmother's wishes	8	Keeping a personal secret, respecting the dead	Personal benefit from the recipe	6	Potential fame or profit from winning pies	Sharing of the recipe with others	7	Possibility of bringing joy to others with good pie	Respect for original source of the recipe	9	Acknowledging and crediting the source	Privacy and consent in using the recipe	9	Not using the recipe in ways that would harm or embarrass the grandmother	Potential commercialization of the recipe	3	Monetizing the recipe could lead to exploitation	3	The scenario is generally positive, with a few minor concerns	0.48
634	Kruepke	I keep promising to take my kids to Disney World. They keep asking me when we are going to go. We still haven't gone and I still keep telling them we will go.	orig		Honesty	4	Making and keeping promises is important.	Emotional impact on children	5	Repeatedly bringing up an unfulfilled promise may affect kids' happiness.	Parental responsibility	6	Parents should ensure they follow through on commitments to their children.	Financial responsibility	7	A trip to Disney World can be expensive and may not be financially feasible for everyone.	Trust	4	Consistently breaking promises can damage trust in a relationship.	Quality time with children	8	Spending quality time with children is important for their development and strengthening family bonds.	1	The scenario shows a lack of follow-through on commitments and can potentially harm emotional well-being and trust of the children, but financial factors might also play a role.	-0.82
635	Mickelberg	Person X was singing loudly to their favorite song in the car.	orig		Respect for others' rights	10	No harm to others, singing in car	Safety	10	Singing likely doesn't affect driving safety	Legality	10	Singing loudly in car is legal	Intent	10	Person X likely has no intention to harm or offend	Public Decency	10	Singing in car does not affect public decency	Mental Well-being	10	Singing can have positive effects on mood	4	Person X's loud singing in the car does not negatively impact others or violate any laws or social norms	0.49
636	Mickelberg	Person X won a weightlifting contest at their gym, after placing second for the last three years.	orig		Fairness of competition	10	All competitors had an equal chance to win	Integrity of person X	10	Person X followed the rules and competed honestly	Gym's regulations compliance	10	The gym's weightlifting contest was conducted according to its rules	Respect for other competitors	10	Person X showed respect for the other competitors	Absence of cheating or doping	10	There is no evidence of cheating or doping by person X	Promotion of physical fitness	10	The contest encouraged participants to improve their physical fitness	4	Person X won the contest fairly and with integrity	0.41
637	Effron	Talked to a lonely child at the company picnic for an hour	orig		Intent	10	Positive intent to comfort a lonely child	Consent	8	Assumed consent as the child didn't object	Respect for Privacy	5	Might have invaded the child's privacy	Time Management	6	Spent too much time away from work responsibilities	Benefit to Child	9	Possible benefit to the child through companionship	Company Policy	7	Potential violation of company policy on picnic behavior	3	Interaction with a lonely child generally seen as positive	1.6571428
638	Effron	Provoked a stranger into a fight	orig		Motivation for Fight	1	Desire for unnecessary physical confrontation	Lack of Self-Control	2	Inability to control temper or avoid escalation	Harm to Others	3	Risk of physical injury to the stranger	Harm to Self	3	Risk of physical injury to oneself	Potential Legal Consequences	4	Possibility of arrest and criminal charges	Negative Impact on Others	5	Potential emotional distress to witnesses or community members	-3	Provoking a stranger into a fight has significant negative moral implications	-2.816
639	Effron	Made a prank phone call	orig		Honesty	2	Lying about one's identity is dishonest	Respect for others' rights	3	Prank calls can invade others' privacy	Intention	2	Prank calls are often made with the intention to deceive or cause discomfort	Harm	4	Prank calls can cause emotional harm or distress	Consent	1	The person receiving the call did not consent to the interaction	Legality	5	Prank calls may be illegal depending on the jurisdiction and the severity of the call	-2	Prank phone calls generally involve dishonesty, disrespect, and a lack of consent, making them morally questionable.	-1.09714288
640	Clifford	You see a father requiring his son to take up the family restaurant business.	orig		Respect for Individual Autonomy	5	Pressuring son into a specific career	Family Legacy	8	Continuing the family business	Informed Consent	3	Son's knowledge and agreement about the future	Coercion	7	Using authority to force the son's decision	Opportunities for Personal Growth	4	Limiting son's career choices	Generational Gap	6	Differences in values and vision between father and son	1	Weighing the moral aspects of the scenario	-1.5
641	Mickelberg	Person X called the bank to tell them about money deposited into PersonX's bank account by accident.	orig		Honesty	10	Person X is being truthful about the mistake	Responsibility	10	Person X is taking responsibility for notifying the bank	Respect for Property	10	Person X respects the rightful owner of the money	Integrity	10	Person X is demonstrating integrity by reporting the error	Caring	10	Person X shows care for the consequences of the error	Fairness	10	Person X is ensuring fair distribution of money	4	All aspects score high, indicating high moral acceptability	2.59
642	Lotto	You work as the night caretaker in a small provincial hospital. During one of your rounds you realise that, because of a laboratory accident, some highly toxic fumes are spreading through the ventilation system towards a room in which there are five patients. In another room in the same ward there is just one patient.You activate a switch which allows the toxic fumes to be diverted away from the room. You know that the fumes will be directed to the single room where the patient will die, but the other five will be saved.	orig		Utility	8	The number of lives saved	Autonomy	0	The right of patients to make their own decisions	Nonmaleficence	3	The duty to do no harm	Beneficence	9	The duty to do good	Justice	5	The fair distribution of resources	Honesty	1	The importance of being truthful	3	The scenario prioritizes the greater good and the survival of the majority, which aligns with the principle of beneficence and utility.	-1.01
